canopy_model,leaf_model,n_valid,rmse,r2,bias,max_abs
fourSAIL,PROSPECT-D,100,8.240833201151066e-16,1.0,2.2804697933828575e-16,1.3766765505351941e-14
fourSAIL,PROSPECT-PRO,100,5.376251841804303e-16,1.0,1.574082715274799e-16,8.93729534823251e-15
fourSAIL,Liberty,89,4.012562104618815e-12,1.0,-4.136491202236271e-14,4.610951620520609e-10
fourSAIL,Fluspect-B,100,4.175752312505032e-16,1.0,1.0796211501008185e-16,6.772360450213455e-15
fourSAIL,Fluspect-B-Cx,100,5.353118308480753e-16,1.0,1.4158821680205438e-16,8.631984016460592e-15
foursail2,PROSPECT-D,100,4.3057325237971086e-16,1.0,7.627533712260703e-17,4.274358644806853e-15
foursail2,PROSPECT-PRO,100,2.871464521790991e-16,1.0,5.583925423691403e-17,3.2751579226442118e-15
foursail2,Liberty,93,5.320752567333987e-12,1.0,-9.88891328897595e-15,4.686191434899456e-10
foursail2,Fluspect-B,100,3.264006893094006e-16,1.0,6.829771908220995e-17,6.161737786669619e-15
foursail2,Fluspect-B-Cx,100,3.1744235999769604e-16,1.0,7.795161560775155e-17,4.052314039881821e-15
INFORM,PROSPECT-D,100,6.044338711042452e-16,1.0,1.3667660034840294e-16,9.103828801926284e-15
INFORM,PROSPECT-PRO,100,3.295835652168935e-16,1.0,5.5410853499585157e-17,7.105427357601002e-15
INFORM,Liberty,92,4.9398882759742755e-12,1.0,-9.513326660713545e-15,6.592662527005189e-10
INFORM,Fluspect-B,100,3.554112372990376e-16,1.0,8.859240594168019e-17,6.328271240363392e-15
INFORM,Fluspect-B-Cx,100,3.6153284269880223e-16,1.0,6.329764090850964e-17,5.717648576819556e-15
